from,to,count
PARCELLES ASSAINIES,ALMADIES,149
PARCELLES ASSAINIES,GRAND DAKAR,191
PARCELLES ASSAINIES,DAKAR PLATEAU,213
PARCELLES ASSAINIES,GUEDIAWAYE,91
PARCELLES ASSAINIES,PIKINE DAGOUDANE,34
PARCELLES ASSAINIES,THIAROYE,43
PARCELLES ASSAINIES,NIAYES,44
PARCELLES ASSAINIES,RUFISQUE,11
PARCELLES ASSAINIES,BAMBILOR,17
PARCELLES ASSAINIES,SINDIA,33
PARCELLES ASSAINIES,THIES SUD,25
PARCELLES ASSAINIES,THIES NORD,14
PARCELLES ASSAINIES,NDAME,93
PARCELLES ASSAINIES,TATTAGUINE,13
PARCELLES ASSAINIES,KOUMBAL,29
PARCELLES ASSAINIES,RAO,17
PARCELLES ASSAINIES,TENGHORY,11
PARCELLES ASSAINIES,NIAGUIS,18
PARCELLES ASSAINIES,KOUSSANAR,13
ALMADIES,PARCELLES ASSAINIES,192
ALMADIES,GRAND DAKAR,168
ALMADIES,DAKAR PLATEAU,194
ALMADIES,GUEDIAWAYE,46
ALMADIES,PIKINE DAGOUDANE,32
ALMADIES,THIAROYE,41
ALMADIES,NIAYES,46
ALMADIES,BAMBILOR,19
ALMADIES,SINDIA,23
ALMADIES,THIES SUD,14
ALMADIES,NDAME,44
ALMADIES,NDOULO,11
ALMADIES,TATTAGUINE,10
ALMADIES,KOUMBAL,12
ALMADIES,NIAGUIS,10
GRAND DAKAR,PARCELLES ASSAINIES,223
GRAND DAKAR,ALMADIES,147
GRAND DAKAR,DAKAR PLATEAU,332
GRAND DAKAR,GUEDIAWAYE,91
GRAND DAKAR,PIKINE DAGOUDANE,84
GRAND DAKAR,THIAROYE,68
GRAND DAKAR,NIAYES,57
GRAND DAKAR,RUFISQUE,27
GRAND DAKAR,BAMBILOR,29
GRAND DAKAR,SINDIA,20
GRAND DAKAR,PAMBAL,12
GRAND DAKAR,THIES SUD,17
GRAND DAKAR,NDAME,95
GRAND DAKAR,KOUMBAL,15
GRAND DAKAR,RAO,14
GRAND DAKAR,NIAGUIS,19
DAKAR PLATEAU,PARCELLES ASSAINIES,206
DAKAR PLATEAU,ALMADIES,183
DAKAR PLATEAU,GRAND DAKAR,283
DAKAR PLATEAU,GUEDIAWAYE,83
DAKAR PLATEAU,PIKINE DAGOUDANE,69
DAKAR PLATEAU,THIAROYE,105
DAKAR PLATEAU,NIAYES,70
DAKAR PLATEAU,RUFISQUE,28
DAKAR PLATEAU,BAMBILOR,44
DAKAR PLATEAU,SINDIA,33
DAKAR PLATEAU,MEOUANE,11
DAKAR PLATEAU,THIES SUD,20
DAKAR PLATEAU,NDAME,76
DAKAR PLATEAU,NDOULO,14
DAKAR PLATEAU,KOUMBAL,14
DAKAR PLATEAU,RAO,13
GUEDIAWAYE,PARCELLES ASSAINIES,108
GUEDIAWAYE,ALMADIES,45
GUEDIAWAYE,GRAND DAKAR,73
GUEDIAWAYE,DAKAR PLATEAU,115
GUEDIAWAYE,PIKINE DAGOUDANE,73
GUEDIAWAYE,THIAROYE,15
GUEDIAWAYE,NIAYES,63
GUEDIAWAYE,SINDIA,53
GUEDIAWAYE,NDAME,78
GUEDIAWAYE,RAO,11
PIKINE DAGOUDANE,PARCELLES ASSAINIES,38
PIKINE DAGOUDANE,ALMADIES,45
PIKINE DAGOUDANE,GRAND DAKAR,80
PIKINE DAGOUDANE,DAKAR PLATEAU,73
PIKINE DAGOUDANE,GUEDIAWAYE,79
PIKINE DAGOUDANE,THIAROYE,90
PIKINE DAGOUDANE,NIAYES,55
PIKINE DAGOUDANE,RUFISQUE,14
PIKINE DAGOUDANE,SINDIA,16
PIKINE DAGOUDANE,NDAME,87
THIAROYE,PARCELLES ASSAINIES,53
THIAROYE,ALMADIES,27
THIAROYE,GRAND DAKAR,61
THIAROYE,DAKAR PLATEAU,80
THIAROYE,GUEDIAWAYE,14
THIAROYE,PIKINE DAGOUDANE,99
THIAROYE,NIAYES,76
THIAROYE,RUFISQUE,34
THIAROYE,BAMBILOR,27
THIAROYE,SINDIA,12
THIAROYE,THIES SUD,11
THIAROYE,NDAME,49
THIAROYE,NDIAYE MBERESS,10
NIAYES,PARCELLES ASSAINIES,56
NIAYES,ALMADIES,44
NIAYES,GRAND DAKAR,68
NIAYES,DAKAR PLATEAU,111
NIAYES,GUEDIAWAYE,70
NIAYES,PIKINE DAGOUDANE,49
NIAYES,THIAROYE,80
NIAYES,BAMBILOR,35
NIAYES,SINDIA,18
NIAYES,NDAME,72
NIAYES,KOUMBAL,12
RUFISQUE,PARCELLES ASSAINIES,17
RUFISQUE,ALMADIES,19
RUFISQUE,GRAND DAKAR,22
RUFISQUE,DAKAR PLATEAU,43
RUFISQUE,THIAROYE,35
RUFISQUE,NIAYES,10
RUFISQUE,BAMBILOR,28
RUFISQUE,SINDIA,14
RUFISQUE,NDAME,23
BAMBILOR,PARCELLES ASSAINIES,23
BAMBILOR,ALMADIES,21
BAMBILOR,GRAND DAKAR,32
BAMBILOR,DAKAR PLATEAU,35
BAMBILOR,GUEDIAWAYE,10
BAMBILOR,PIKINE DAGOUDANE,10
BAMBILOR,THIAROYE,25
BAMBILOR,NIAYES,34
BAMBILOR,RUFISQUE,33
BAMBILOR,SINDIA,17
BAMBILOR,SESSENE,10
BAMBILOR,NDAME,19
KEUR MOUSSA,BAMBILOR,13
SINDIA,PARCELLES ASSAINIES,33
SINDIA,ALMADIES,17
SINDIA,GRAND DAKAR,25
SINDIA,DAKAR PLATEAU,35
SINDIA,GUEDIAWAYE,11
SINDIA,PIKINE DAGOUDANE,17
SINDIA,THIAROYE,23
SINDIA,NIAYES,13
SINDIA,RUFISQUE,11
SINDIA,BAMBILOR,14
SINDIA,THIES SUD,20
SINDIA,THIES NORD,12
SINDIA,SESSENE,29
SINDIA,NDAME,35
SINDIA,NIODIOR,10
SINDIA,RAO,10
NOTTO,THIES SUD,10
THIENABA,DAKAR PLATEAU,17
THIENABA,THIES SUD,21
THIENABA,NDAME,14
PAMBAL,PARCELLES ASSAINIES,16
PAMBAL,GRAND DAKAR,10
PAMBAL,DAKAR PLATEAU,10
PAMBAL,THIES SUD,15
PAMBAL,NDAME,19
MEOUANE,PAMBAL,19
MEOUANE,NDAME,19
MERINA DAKHAR,NDAME,19
NIAKHENE,NDAME,15
THIES SUD,PARCELLES ASSAINIES,24
THIES SUD,GRAND DAKAR,17
THIES SUD,DAKAR PLATEAU,23
THIES SUD,THIAROYE,10
THIES SUD,SINDIA,21
THIES SUD,THIENABA,15
THIES SUD,THIES NORD,78
THIES SUD,NDAME,37
THIES NORD,DAKAR PLATEAU,10
THIES NORD,THIES SUD,67
THIES NORD,NDAME,19
SESSENE,PARCELLES ASSAINIES,14
SESSENE,SINDIA,25
SESSENE,NDAME,13
TAIF,NDAME,12
KAEL,NDAME,15
NDAME,PARCELLES ASSAINIES,16
NDAME,GRAND DAKAR,12
NDAME,DAKAR PLATEAU,19
NDAME,GUEDIAWAYE,11
NDAME,THIAROYE,10
NDAME,KOUMBAL,10
NDOULO,PARCELLES ASSAINIES,11
NDOULO,GRAND DAKAR,11
NDOULO,DAKAR PLATEAU,11
NDOULO,NDAME,36
NGOYE,GRAND DAKAR,17
NGOYE,NDAME,15
BABA GARAGE,NDAME,14
TATTAGUINE,PARCELLES ASSAINIES,11
FIMELA,TATTAGUINE,13
TOUBACOUTA,GRAND DAKAR,11
TOUBACOUTA,DJILOR,14
MEUR MOMAR SARR,MBEDIENE,24
MEUR MOMAR SARR,COKI,18
MBEDIENE,PARCELLES ASSAINIES,12
MBEDIENE,DAKAR PLATEAU,11
MBEDIENE,NDAME,25
COKI,NDAME,21
SAGATTA GUETH I,NDAME,23
SAGATTA GUETH II,NDAME,12
DAROU MOUSTY,NDAME,41
SAGATTA DJOLOF,NDAME,22
YANG YANG,SAGATTA DJOLOF,13
DODJI,NDAME,17
BARKEDJI,NDAME,13
KOUMBAL,PARCELLES ASSAINIES,38
KOUMBAL,ALMADIES,14
KOUMBAL,GRAND DAKAR,22
KOUMBAL,DAKAR PLATEAU,27
KOUMBAL,PIKINE DAGOUDANE,10
KOUMBAL,NIAYES,13
KOUMBAL,SINDIA,13
KOUMBAL,THIES SUD,11
KOUMBAL,NDAME,55
KOUMBAL,NGOTHIE,14
KOUMBAL,PAOS KOTO,10
PAOS KOTO,PARCELLES ASSAINIES,10
PAOS KOTO,NDAME,10
PAOS KOTO,KOUMBAL,21
WACK NGOUNA,KOUMBAL,11
MEDINA SABAKH,KATAKELKEUR MBOUCKI,14
GNIBY,NDAME,16
DAROU MINAME II,NDAME,14
MBANE,NDIAYE MBERESS,27
MBANE,RAO,13
NDIAYE MBERESS,PARCELLES ASSAINIES,15
NDIAYE MBERESS,PIKINE DAGOUDANE,10
NDIAYE MBERESS,THIAROYE,11
NDIAYE MBERESS,NDAME,13
NDIAYE MBERESS,MBANE,14
NDIAYE MBERESS,RAO,35
GAMADJI SARRE,GRAND DAKAR,10
GAMADJI SARRE,PIKINE DAGOUDANE,10
GAMADJI SARRE,NIAYES,10
GAMADJI SARRE,CAS CAS,13
GAMADJI SARRE,RAO,12
CAS CAS,GUEDIAWAYE,11
CAS CAS,GAMADJI SARRE,10
RAO,PARCELLES ASSAINIES,26
RAO,ALMADIES,14
RAO,GRAND DAKAR,24
RAO,DAKAR PLATEAU,18
RAO,GUEDIAWAYE,13
RAO,THIAROYE,14
RAO,NIAYES,12
RAO,SINDIA,17
RAO,NDAME,26
RAO,NDIAYE MBERESS,23
THILE BOUBACAR,GAMADJI SARRE,17
MAMPATIM,SARE BIDJI,10
DIOULACOLON,SARE BIDJI,14
SARE BIDJI,DAKAR PLATEAU,11
SARE BIDJI,NIAGUIS,11
DJIBANAR,NIAGUIS,16
DJIREDJI,DJIBANAR,13
DIENDE,DJIBANAR,11
CABROUSSE,NIAGUIS,17
SINDIAN,TENGHORY,14
TENGHORY,PARCELLES ASSAINIES,17
TENGHORY,NIAGUIS,31
NIAGUIS,PARCELLES ASSAINIES,30
NIAGUIS,ALMADIES,10
NIAGUIS,GRAND DAKAR,21
NIAGUIS,DAKAR PLATEAU,13
NIAGUIS,PIKINE DAGOUDANE,11
NIAGUIS,THIAROYE,17
NIAGUIS,NIAYES,12
NIAGUIS,NDAME,16
NIAGUIS,DJIBANAR,12
NIAGUIS,LOUDIA OUOLOF,10
NIAGUIS,TENGHORY,19
NIAGUIS,KATABA I,15
NIAGUIS,TENDOUCK,11
BANDAFASSI,KOUSSANAR,14
KOUSSANAR,PARCELLES ASSAINIES,18
KOUSSANAR,DAKAR PLATEAU,10
KOUSSANAR,NDAME,13
MISSIRAH,KOUSSANAR,10
DIANKE MAKHA,KOUSSANAR,11
MOUDERY,PARCELLES ASSAINIES,11
MOUDERY,DAKAR PLATEAU,19
MOUDERY,NDAME,17
MOUDERY,KOUSSANAR,12
OGO,GRAND DAKAR,10
OGO,DAKAR PLATEAU,13
OGO,GUEDIAWAYE,16
OGO,PIKINE DAGOUDANE,11
OGO,NDAME,10
OGO,RAO,10
OGO,AGNAM CIVOL,13
OGO,ORKADIERE,19
OGO,OURO SIDY,12
AGNAM CIVOL,DAKAR PLATEAU,11
AGNAM CIVOL,OGO,17
ORKADIERE,PARCELLES ASSAINIES,13
ORKADIERE,DAKAR PLATEAU,12
ORKADIERE,GUEDIAWAYE,10
ORKADIERE,PIKINE DAGOUDANE,11
ORKADIERE,MOUDERY,17
ORKADIERE,OGO,14
ORKADIERE,OURO SIDY,14
OURO SIDY,OGO,18
OURO SIDY,ORKADIERE,17
